id;deleted;created_date;last_modified_date;created_by;last_modified_by;last_name;first_name;dni;birth_date;address;cuil;plan_social;trabaja;apellido_tutor;nombre_tutor;estudio_primario_tutor;estudio_secundario_tutor;estudio_ter_univ_tutor;dni_tutor;cuil_tutor;telefono1;telefono2;foto_dni;constancia_cuil;constancia6grado;acta_nacimiento;constancia_regular;foto4x4;foto_carnet_vac;ficha_medica;aptitud_fisica;grupo_sanguineo;ficha_inscripcion;libreta6grado;fotocopia_libro_matriz;fotocopia_dni_tutor;constancia_cuil_tutor;localidad_entity_id;parentesco_tutor_entity_id
14;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Domínguez;Camila;50986236;2009-05-23;Moreno 2537;27-50986236-8;false;false;Ramírez;Sol;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;26220917;27-26220917-8;11-5882-5551;;true;true;false;true;true;false;true;true;true;true;true;true;true;false;false;;
15;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Ramírez;Daniela;48370504;2013-12-14;San Martín 2084;27-48370504-8;false;false;Álvarez;Rocío;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;21354328;27-21354328-3;11-5565-8522;11-5543-9934;true;true;true;true;true;true;false;true;false;true;true;false;true;true;true;;
16;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Gutiérrez;Diego;51606874;2018-05-08;Sarmiento 1617;20-51606874-5;true;false;Benítez;Joaquín;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;28921481;20-28921481-0;11-4182-4246;11-4427-3700;true;true;true;true;true;true;true;false;true;false;true;false;false;true;true;;
17;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Castro;Cecilia;48335210;2008-11-19;Piedras 3323;27-48335210-2;false;false;González;Santiago;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;34976786;20-34976786-5;11-5202-2222;;true;true;true;false;true;false;true;true;true;true;true;false;true;true;true;;
18;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Rojas;Martina;48183214;2011-08-14;Sarmiento 367;23-48183214-4;false;false;Gutiérrez;Delfina;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;20027210;27-20027210-8;11-4539-2461;11-5711-4319;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;;
19;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Díaz;Facundo;48654754;2017-07-18;Mitre 2009;20-48654754-6;true;false;Romero;Gabriela;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;33153346;27-33153346-2;11-5579-1148;;true;true;true;true;true;false;true;false;true;true;true;true;false;true;true;;
20;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Domínguez;Federico;50879487;2009-09-03;Av. de Mayo 3824;20-50879487-9;false;false;Gutiérrez;Bautista;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;25179970;23-25179970-9;11-5743-9754;;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;;
21;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Gutiérrez;Ana;50065896;2018-03-10;Suipacha 2602;27-50065896-2;false;false;Silva;Miguel;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;29240132;23-29240132-9;11-5997-7112;11-4253-9970;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;;
22;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Gómez;Ana;49060098;2011-04-22;Urquiza 3451;27-49060098-7;false;false;Ortega;Patricia;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;34837950;27-34837950-5;11-4892-6383;;true;false;true;true;true;true;true;false;true;true;true;true;true;true;true;;
23;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Acosta;Milagros;51447466;2010-07-12;9 de Julio 4128;23-51447466-4;true;true;Álvarez;Alejandro;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;31601232;23-31601232-9;11-4649-1396;;true;false;false;true;true;false;true;true;true;true;true;true;false;false;true;;
24;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Ruiz;Julián;50941023;2010-07-20;Av. Rivadavia 843;20-50941023-3;false;true;Flores;Belén;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;28938763;27-28938763-9;11-4340-8189;11-4552-3859;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;;
25;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Romero;Gabriela;49007923;2016-08-15;Tucumán 3325;27-49007923-3;false;false;Pérez;Nicolás;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;30440404;20-30440404-4;11-5534-6403;;false;false;true;true;true;true;true;true;true;true;true;false;true;true;true;;
26;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Gómez;Pedro;46094738;2014-12-10;Pueyrredón 3480;20-46094738-4;false;false;Benítez;Martina;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;32266258;27-32266258-6;11-4887-2564;;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;;
27;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;González;Miguel;45454490;2016-06-18;Chacabuco 567;20-45454490-1;true;false;Rodríguez;Nicolás;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;32183478;20-32183478-8;11-5791-4547;;true;true;true;true;true;true;true;false;false;true;false;true;false;true;true;;
28;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Martínez;Luis;49763408;2015-12-05;Chacabuco 3250;20-49763408-4;false;false;Giménez;Ezequiel;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;24530640;20-24530640-8;11-4481-4346;11-5679-8300;true;true;false;true;true;true;true;true;true;true;true;true;false;false;true;;
29;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Romero;Ramiro;45922334;2011-08-06;Pueyrredón 1749;20-45922334-8;false;false;Vargas;Gabriela;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;23703354;27-23703354-5;11-5055-1955;;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;;
30;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Álvarez;Julieta;45544287;2009-10-26;Av. Santa Fe 1673;27-45544287-2;false;false;Silva;Luis;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;27919267;20-27919267-3;11-5003-3139;11-4514-2335;true;true;false;true;true;false;true;true;true;true;true;true;true;true;false;;
31;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Romano;Julieta;45502439;2017-05-05;Salta 2001;27-45502439-6;false;false;Ortega;Victoria;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;23776767;27-23776767-0;11-4320-8174;;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;;
32;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Medina;Julián;46090498;2018-07-13;Av. Cabildo 459;20-46090498-7;false;false;Gómez;Ana;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;24380564;27-24380564-9;11-5699-7718;;true;true;true;true;true;false;true;true;true;true;false;true;false;true;false;;
33;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Medina;Jorge;45430387;2016-02-03;Av. Rivadavia 607;20-45430387-4;false;false;Molina;Rocío;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;32921015;23-32921015-4;11-4907-6663;11-4208-1390;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;;
34;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Romano;Facundo;47932125;2016-01-06;Pueyrredón 1996;20-47932125-7;true;false;Molina;Natalia;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;22041235;27-22041235-6;11-4418-4359;11-4984-7977;false;false;true;true;true;true;true;false;false;true;true;true;true;true;true;;
35;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Fernández;Natalia;47477048;2015-10-28;Lavalle 2815;27-47477048-1;false;false;Sánchez;Cecilia;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;31226906;27-31226906-1;11-5522-9191;;true;true;true;true;false;false;true;true;true;true;true;true;true;true;false;;
36;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Pérez;Daniela;50965701;2010-03-17;Colón 3932;27-50965701-2;false;false;Ramírez;Florencia;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;22430201;27-22430201-6;11-4597-1249;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;;
37;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Ortega;Isabella;51327174;2010-01-18;Colón 63;27-51327174-9;false;false;Martínez;Hernán;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;21385568;23-21385568-9;11-4212-1021;;true;true;false;true;true;true;true;false;true;false;true;true;true;true;true;;
38;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Romero;Bautista;51320877;2013-02-13;Av. de Mayo 3750;20-51320877-5;false;false;Flores;Juana;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;28559432;23-28559432-4;11-5112-2693;;true;false;false;false;true;true;true;true;true;true;true;true;false;false;false;;
39;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Medina;Ezequiel;48016288;2014-01-27;Belgrano 151;23-48016288-9;false;false;Fernández;Nicolás;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;22235992;23-22235992-9;11-4160-8445;;true;true;false;true;true;false;true;false;true;true;true;true;false;true;true;;
40;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Rodríguez;Diego;48195298;2018-04-20;San Martín 4296;20-48195298-1;false;false;Rojas;Mateo;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;29911568;20-29911568-3;11-4844-9179;11-4264-6943;true;true;true;true;true;true;true;true;false;true;true;true;false;false;true;;
41;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;González;Florencia;46699855;2017-05-22;Alberdi 3935;27-46699855-4;false;false;Romano;Pedro;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;33226000;20-33226000-7;11-5769-2351;;true;true;true;false;true;false;false;true;true;true;true;false;true;true;false;;
42;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;López;Alejandro;45736292;2017-09-08;Av. Santa Fe 536;20-45736292-8;false;false;Domínguez;Gustavo;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;22853891;20-22853891-5;11-5914-9939;;true;false;true;true;true;true;false;false;true;true;false;true;true;false;true;;
43;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Fernández;Carolina;50090787;2009-11-13;Colón 253;27-50090787-3;false;false;Medina;Joaquín;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;28301891;20-28301891-2;11-4113-7156;;true;false;true;true;true;true;true;false;true;true;true;true;true;true;true;;
44;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Rodríguez;Julián;46409921;2009-12-01;Mitre 780;20-46409921-3;true;false;Ramírez;Julián;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;24704373;20-24704373-0;11-5945-6938;11-5175-3487;true;true;true;true;true;true;true;true;false;false;true;true;false;true;true;;
45;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Guzmán;Micaela;45724009;2011-05-07;San Martín 609;27-45724009-6;false;false;Herrera;Lucas;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;21455981;20-21455981-2;11-5135-6420;11-4306-9959;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;;
46;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Gómez;María;45399577;2011-04-27;Suipacha 1699;27-45399577-7;false;false;Pérez;Florencia;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;21000945;27-21000945-6;11-5528-4092;11-5573-2492;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;;
47;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Silva;Florencia;47595831;2014-06-06;Santiago del Estero 1613;23-47595831-4;true;false;Rodríguez;Gustavo;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;33762117;20-33762117-2;11-4322-6461;11-4637-9945;true;true;true;false;true;true;false;true;false;true;true;true;false;false;true;;
48;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Giménez;Laura;50576626;2011-11-13;Moreno 134;27-50576626-7;false;false;Castro;Lucas;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;26272431;20-26272431-0;11-4218-7822;;true;false;true;true;true;false;false;true;true;true;true;true;false;true;true;;
49;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Castro;Lucía;46881604;2018-08-16;Pellegrini 317;27-46881604-6;false;false;Rojas;Delfina;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;23712859;27-23712859-7;11-4934-6854;;true;true;true;false;true;true;true;true;true;true;true;true;false;false;true;;
50;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Flores;Mariana;47198109;2012-05-20;Mitre 1080;27-47198109-0;true;false;Torres;Alejandro;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;29272151;20-29272151-0;11-4104-9315;;true;false;false;true;true;true;false;true;false;true;true;true;false;true;true;;
51;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Rodríguez;Juan;50608038;2018-04-06;Moreno 3735;20-50608038-0;false;false;Vargas;Fernando;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;22569965;20-22569965-9;11-4023-8636;11-4928-1423;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;;
52;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Álvarez;Gonzalo;46856225;2009-11-26;Urquiza 2280;20-46856225-2;true;true;Flores;Facundo;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;33347213;23-33347213-9;11-4848-8230;;true;false;true;true;true;true;true;true;true;true;false;true;true;true;false;;
53;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;González;Fernando;48222473;2012-04-06;Colón 4173;20-48222473-4;false;false;Romero;Ignacio;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;25883611;20-25883611-2;11-4236-5961;;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;;
54;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Martínez;Micaela;49840913;2016-06-21;Av. Santa Fe 2338;27-49840913-5;false;false;Díaz;Victoria;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;26586737;27-26586737-0;11-4165-1950;;false;true;true;true;true;false;true;true;false;true;true;true;false;true;true;;
55;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Romero;Laura;50330142;2011-01-21;Salta 3746;27-50330142-9;true;false;López;Abril;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;26081161;23-26081161-4;11-5340-4038;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;;
56;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Romero;Delfina;51298589;2012-11-04;Av. de Mayo 4092;27-51298589-6;true;false;Giménez;Milagros;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;30225986;27-30225986-6;11-4268-8703;11-4857-4870;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;;
57;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Ramírez;Lucas;48231860;2013-01-14;Tucumán 4169;20-48231860-7;false;false;Romero;Santiago;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;30983250;20-30983250-8;11-5760-8969;;true;true;true;true;true;false;true;true;false;true;true;true;false;false;true;;
58;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Gómez;Mariana;46626180;2009-01-24;Santiago del Estero 2471;27-46626180-2;true;false;Flores;Fernando;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;21317131;20-21317131-4;11-5184-6986;;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;;
59;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Ramírez;Joaquín;50202314;2009-09-22;Av. Rivadavia 420;20-50202314-5;false;false;Díaz;Diego;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;28189109;20-28189109-0;11-4032-4911;11-4851-1979;true;true;true;true;true;false;true;false;true;true;true;false;true;true;false;;
60;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;López;Juana;51882422;2016-11-27;Av. Santa Fe 1484;27-51882422-3;false;false;Benítez;Lucía;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;23240202;23-23240202-4;11-5428-5262;11-4156-4531;true;true;true;true;true;true;true;false;true;true;true;false;false;true;false;;
61;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Pérez;Pedro;45214892;2013-02-05;Esmeralda 2883;20-45214892-8;false;false;Ramírez;Lucía;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;29637958;27-29637958-7;11-5814-2950;;true;true;true;true;true;false;false;true;true;true;true;true;false;true;false;;
62;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Domínguez;Sol;45719935;2015-06-13;Av. Rivadavia 3078;27-45719935-5;false;false;Molina;Sol;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;33368934;27-33368934-6;11-5090-1450;;true;true;false;true;true;true;true;false;true;false;true;false;true;true;false;;
63;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Torres;Ezequiel;45161467;2017-06-27;Colón 3481;20-45161467-4;false;false;Gutiérrez;Fernando;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;28592949;20-28592949-1;11-5998-9955;;true;true;false;true;true;false;true;true;false;true;true;true;true;false;true;;
64;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Díaz;Delfina;49286150;2018-12-08;Chacabuco 2281;27-49286150-8;false;false;Silva;Federico;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;31715642;20-31715642-2;11-5408-3340;;true;true;true;true;false;true;false;false;true;true;true;true;false;true;false;;
65;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Gómez;Mariana;47924794;2013-06-16;Av. Corrientes 2865;27-47924794-9;true;false;Guzmán;Delfina;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;32106104;23-32106104-4;11-4526-9906;11-5366-4604;true;true;true;true;false;true;true;false;true;false;true;true;false;true;true;;
66;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Guzmán;Bautista;47145528;2012-12-28;San Martín 1396;20-47145528-9;false;false;Rodríguez;Luis;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;25134060;23-25134060-9;11-4108-1083;11-4039-7502;true;false;true;true;true;true;true;true;true;true;false;true;false;true;false;;
67;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Silva;Micaela;51886691;2010-01-15;Lavalle 1698;27-51886691-0;false;false;Torres;Ramiro;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;32840885;20-32840885-7;11-4072-6914;;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;;
68;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Romero;Hernán;50844217;2011-08-10;Tucumán 3621;20-50844217-4;false;false;Benítez;Carlos;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;23248242;20-23248242-8;11-4063-6170;11-5680-1508;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;;
69;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Martínez;Sofía;50317046;2014-11-02;Pellegrini 395;27-50317046-4;false;true;Vargas;Daniela;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;27630871;27-27630871-3;11-5965-2477;;false;true;true;true;true;true;true;true;false;true;true;true;true;false;false;;
